id,Timetable,Year,Month,Day,DayOfWeek,WeekOfYear,Hour,Quarter,Half
1,2017-01-01 00:00:00,2017,1,1,6,52,0,1,1
2,2017-01-01 01:00:00,2017,1,1,6,52,1,1,1
3,2017-01-01 02:00:00,2017,1,1,6,52,2,1,1
4,2017-01-01 03:00:00,2017,1,1,6,52,3,1,1
5,2017-01-01 04:00:00,2017,1,1,6,52,4,1,1
6,2017-01-01 05:00:00,2017,1,1,6,52,5,1,1
7,2017-01-01 06:00:00,2017,1,1,6,52,6,1,1
8,2017-01-01 07:00:00,2017,1,1,6,52,7,1,1
9,2017-01-01 08:00:00,2017,1,1,6,52,8,1,1
10,2017-01-01 09:00:00,2017,1,1,6,52,9,1,1
11,2017-01-01 10:00:00,2017,1,1,6,52,10,1,1
12,2017-01-01 11:00:00,2017,1,1,6,52,11,1,1
13,2017-01-01 12:00:00,2017,1,1,6,52,12,1,1
14,2017-01-01 13:00:00,2017,1,1,6,52,13,1,1
15,2017-01-01 14:00:00,2017,1,1,6,52,14,1,1
16,2017-01-01 15:00:00,2017,1,1,6,52,15,1,1
17,2017-01-01 16:00:00,2017,1,1,6,52,16,1,1
18,2017-01-01 17:00:00,2017,1,1,6,52,17,1,1
19,2017-01-01 18:00:00,2017,1,1,6,52,18,1,1
20,2017-01-01 19:00:00,2017,1,1,6,52,19,1,1
21,2017-01-01 20:00:00,2017,1,1,6,52,20,1,1
22,2017-01-01 21:00:00,2017,1,1,6,52,21,1,1
23,2017-01-01 22:00:00,2017,1,1,6,52,22,1,1
24,2017-01-01 23:00:00,2017,1,1,6,52,23,1,1
25,2017-01-02 00:00:00,2017,1,2,0,1,0,1,1
26,2017-01-02 01:00:00,2017,1,2,0,1,1,1,1
27,2017-01-02 02:00:00,2017,1,2,0,1,2,1,1
28,2017-01-02 03:00:00,2017,1,2,0,1,3,1,1
29,2017-01-02 04:00:00,2017,1,2,0,1,4,1,1
30,2017-01-02 05:00:00,2017,1,2,0,1,5,1,1
31,2017-01-02 06:00:00,2017,1,2,0,1,6,1,1
32,2017-01-02 07:00:00,2017,1,2,0,1,7,1,1
33,2017-01-02 08:00:00,2017,1,2,0,1,8,1,1
34,2017-01-02 09:00:00,2017,1,2,0,1,9,1,1
35,2017-01-02 10:00:00,2017,1,2,0,1,10,1,1
36,2017-01-02 11:00:00,2017,1,2,0,1,11,1,1
37,2017-01-02 12:00:00,2017,1,2,0,1,12,1,1
38,2017-01-02 13:00:00,2017,1,2,0,1,13,1,1
39,2017-01-02 14:00:00,2017,1,2,0,1,14,1,1
40,2017-01-02 15:00:00,2017,1,2,0,1,15,1,1
41,2017-01-02 16:00:00,2017,1,2,0,1,16,1,1
42,2017-01-02 17:00:00,2017,1,2,0,1,17,1,1
43,2017-01-02 18:00:00,2017,1,2,0,1,18,1,1
44,2017-01-02 19:00:00,2017,1,2,0,1,19,1,1
45,2017-01-02 20:00:00,2017,1,2,0,1,20,1,1
46,2017-01-02 21:00:00,2017,1,2,0,1,21,1,1
47,2017-01-02 22:00:00,2017,1,2,0,1,22,1,1
48,2017-01-02 23:00:00,2017,1,2,0,1,23,1,1
49,2017-01-03 00:00:00,2017,1,3,1,1,0,1,1
50,2017-01-03 01:00:00,2017,1,3,1,1,1,1,1
51,2017-01-03 02:00:00,2017,1,3,1,1,2,1,1
52,2017-01-03 03:00:00,2017,1,3,1,1,3,1,1
53,2017-01-03 04:00:00,2017,1,3,1,1,4,1,1
54,2017-01-03 05:00:00,2017,1,3,1,1,5,1,1
55,2017-01-03 06:00:00,2017,1,3,1,1,6,1,1
56,2017-01-03 07:00:00,2017,1,3,1,1,7,1,1
57,2017-01-03 08:00:00,2017,1,3,1,1,8,1,1
58,2017-01-03 09:00:00,2017,1,3,1,1,9,1,1
59,2017-01-03 10:00:00,2017,1,3,1,1,10,1,1
60,2017-01-03 11:00:00,2017,1,3,1,1,11,1,1
61,2017-01-03 12:00:00,2017,1,3,1,1,12,1,1
62,2017-01-03 13:00:00,2017,1,3,1,1,13,1,1
63,2017-01-03 14:00:00,2017,1,3,1,1,14,1,1
64,2017-01-03 15:00:00,2017,1,3,1,1,15,1,1
65,2017-01-03 16:00:00,2017,1,3,1,1,16,1,1
66,2017-01-03 17:00:00,2017,1,3,1,1,17,1,1
67,2017-01-03 18:00:00,2017,1,3,1,1,18,1,1
68,2017-01-03 19:00:00,2017,1,3,1,1,19,1,1
69,2017-01-03 20:00:00,2017,1,3,1,1,20,1,1
70,2017-01-03 21:00:00,2017,1,3,1,1,21,1,1
71,2017-01-03 22:00:00,2017,1,3,1,1,22,1,1
72,2017-01-03 23:00:00,2017,1,3,1,1,23,1,1
73,2017-01-04 00:00:00,2017,1,4,2,1,0,1,1
74,2017-01-04 01:00:00,2017,1,4,2,1,1,1,1
75,2017-01-04 02:00:00,2017,1,4,2,1,2,1,1
76,2017-01-04 03:00:00,2017,1,4,2,1,3,1,1
77,2017-01-04 04:00:00,2017,1,4,2,1,4,1,1
78,2017-01-04 05:00:00,2017,1,4,2,1,5,1,1
79,2017-01-04 06:00:00,2017,1,4,2,1,6,1,1
80,2017-01-04 07:00:00,2017,1,4,2,1,7,1,1
81,2017-01-04 08:00:00,2017,1,4,2,1,8,1,1
82,2017-01-04 09:00:00,2017,1,4,2,1,9,1,1
83,2017-01-04 10:00:00,2017,1,4,2,1,10,1,1
84,2017-01-04 11:00:00,2017,1,4,2,1,11,1,1
85,2017-01-04 12:00:00,2017,1,4,2,1,12,1,1
86,2017-01-04 13:00:00,2017,1,4,2,1,13,1,1
87,2017-01-04 14:00:00,2017,1,4,2,1,14,1,1
88,2017-01-04 15:00:00,2017,1,4,2,1,15,1,1
89,2017-01-04 16:00:00,2017,1,4,2,1,16,1,1
90,2017-01-04 17:00:00,2017,1,4,2,1,17,1,1
91,2017-01-04 18:00:00,2017,1,4,2,1,18,1,1
92,2017-01-04 19:00:00,2017,1,4,2,1,19,1,1
93,2017-01-04 20:00:00,2017,1,4,2,1,20,1,1
94,2017-01-04 21:00:00,2017,1,4,2,1,21,1,1
95,2017-01-04 22:00:00,2017,1,4,2,1,22,1,1
96,2017-01-04 23:00:00,2017,1,4,2,1,23,1,1
97,2017-01-05 00:00:00,2017,1,5,3,1,0,1,1
98,2017-01-05 01:00:00,2017,1,5,3,1,1,1,1
99,2017-01-05 02:00:00,2017,1,5,3,1,2,1,1
100,2017-01-05 03:00:00,2017,1,5,3,1,3,1,1
101,2017-01-05 04:00:00,2017,1,5,3,1,4,1,1
102,2017-01-05 05:00:00,2017,1,5,3,1,5,1,1
103,2017-01-05 06:00:00,2017,1,5,3,1,6,1,1
104,2017-01-05 07:00:00,2017,1,5,3,1,7,1,1
105,2017-01-05 08:00:00,2017,1,5,3,1,8,1,1
106,2017-01-05 09:00:00,2017,1,5,3,1,9,1,1
107,2017-01-05 10:00:00,2017,1,5,3,1,10,1,1
108,2017-01-05 11:00:00,2017,1,5,3,1,11,1,1
109,2017-01-05 12:00:00,2017,1,5,3,1,12,1,1
110,2017-01-05 13:00:00,2017,1,5,3,1,13,1,1
111,2017-01-05 14:00:00,2017,1,5,3,1,14,1,1
112,2017-01-05 15:00:00,2017,1,5,3,1,15,1,1
113,2017-01-05 16:00:00,2017,1,5,3,1,16,1,1
114,2017-01-05 17:00:00,2017,1,5,3,1,17,1,1
115,2017-01-05 18:00:00,2017,1,5,3,1,18,1,1
116,2017-01-05 19:00:00,2017,1,5,3,1,19,1,1
117,2017-01-05 20:00:00,2017,1,5,3,1,20,1,1
118,2017-01-05 21:00:00,2017,1,5,3,1,21,1,1
119,2017-01-05 22:00:00,2017,1,5,3,1,22,1,1
120,2017-01-05 23:00:00,2017,1,5,3,1,23,1,1
121,2017-01-06 00:00:00,2017,1,6,4,1,0,1,1
122,2017-01-06 01:00:00,2017,1,6,4,1,1,1,1
123,2017-01-06 02:00:00,2017,1,6,4,1,2,1,1
124,2017-01-06 03:00:00,2017,1,6,4,1,3,1,1
125,2017-01-06 04:00:00,2017,1,6,4,1,4,1,1
126,2017-01-06 05:00:00,2017,1,6,4,1,5,1,1
127,2017-01-06 06:00:00,2017,1,6,4,1,6,1,1
128,2017-01-06 07:00:00,2017,1,6,4,1,7,1,1
129,2017-01-06 08:00:00,2017,1,6,4,1,8,1,1
130,2017-01-06 09:00:00,2017,1,6,4,1,9,1,1
131,2017-01-06 10:00:00,2017,1,6,4,1,10,1,1
132,2017-01-06 11:00:00,2017,1,6,4,1,11,1,1
133,2017-01-06 12:00:00,2017,1,6,4,1,12,1,1
134,2017-01-06 13:00:00,2017,1,6,4,1,13,1,1
135,2017-01-06 14:00:00,2017,1,6,4,1,14,1,1
136,2017-01-06 15:00:00,2017,1,6,4,1,15,1,1
137,2017-01-06 16:00:00,2017,1,6,4,1,16,1,1
138,2017-01-06 17:00:00,2017,1,6,4,1,17,1,1
139,2017-01-06 18:00:00,2017,1,6,4,1,18,1,1
140,2017-01-06 19:00:00,2017,1,6,4,1,19,1,1
141,2017-01-06 20:00:00,2017,1,6,4,1,20,1,1
142,2017-01-06 21:00:00,2017,1,6,4,1,21,1,1
143,2017-01-06 22:00:00,2017,1,6,4,1,22,1,1
144,2017-01-06 23:00:00,2017,1,6,4,1,23,1,1
145,2017-01-07 00:00:00,2017,1,7,5,1,0,1,1
146,2017-01-07 01:00:00,2017,1,7,5,1,1,1,1
147,2017-01-07 02:00:00,2017,1,7,5,1,2,1,1
148,2017-01-07 03:00:00,2017,1,7,5,1,3,1,1
149,2017-01-07 04:00:00,2017,1,7,5,1,4,1,1
150,2017-01-07 05:00:00,2017,1,7,5,1,5,1,1
151,2017-01-07 06:00:00,2017,1,7,5,1,6,1,1
152,2017-01-07 07:00:00,2017,1,7,5,1,7,1,1
153,2017-01-07 08:00:00,2017,1,7,5,1,8,1,1
154,2017-01-07 09:00:00,2017,1,7,5,1,9,1,1
155,2017-01-07 10:00:00,2017,1,7,5,1,10,1,1
156,2017-01-07 11:00:00,2017,1,7,5,1,11,1,1
157,2017-01-07 12:00:00,2017,1,7,5,1,12,1,1
158,2017-01-07 13:00:00,2017,1,7,5,1,13,1,1
159,2017-01-07 14:00:00,2017,1,7,5,1,14,1,1
160,2017-01-07 15:00:00,2017,1,7,5,1,15,1,1
161,2017-01-07 16:00:00,2017,1,7,5,1,16,1,1
162,2017-01-07 17:00:00,2017,1,7,5,1,17,1,1
163,2017-01-07 18:00:00,2017,1,7,5,1,18,1,1
164,2017-01-07 19:00:00,2017,1,7,5,1,19,1,1
165,2017-01-07 20:00:00,2017,1,7,5,1,20,1,1
166,2017-01-07 21:00:00,2017,1,7,5,1,21,1,1
167,2017-01-07 22:00:00,2017,1,7,5,1,22,1,1
168,2017-01-07 23:00:00,2017,1,7,5,1,23,1,1
169,2017-01-08 00:00:00,2017,1,8,6,1,0,1,1
170,2017-01-08 01:00:00,2017,1,8,6,1,1,1,1
171,2017-01-08 02:00:00,2017,1,8,6,1,2,1,1
172,2017-01-08 03:00:00,2017,1,8,6,1,3,1,1
173,2017-01-08 04:00:00,2017,1,8,6,1,4,1,1
174,2017-01-08 05:00:00,2017,1,8,6,1,5,1,1
175,2017-01-08 06:00:00,2017,1,8,6,1,6,1,1
176,2017-01-08 07:00:00,2017,1,8,6,1,7,1,1
177,2017-01-08 08:00:00,2017,1,8,6,1,8,1,1
178,2017-01-08 09:00:00,2017,1,8,6,1,9,1,1
179,2017-01-08 10:00:00,2017,1,8,6,1,10,1,1
180,2017-01-08 11:00:00,2017,1,8,6,1,11,1,1
181,2017-01-08 12:00:00,2017,1,8,6,1,12,1,1
182,2017-01-08 13:00:00,2017,1,8,6,1,13,1,1
183,2017-01-08 14:00:00,2017,1,8,6,1,14,1,1
184,2017-01-08 15:00:00,2017,1,8,6,1,15,1,1
185,2017-01-08 16:00:00,2017,1,8,6,1,16,1,1
186,2017-01-08 17:00:00,2017,1,8,6,1,17,1,1
187,2017-01-08 18:00:00,2017,1,8,6,1,18,1,1
188,2017-01-08 19:00:00,2017,1,8,6,1,19,1,1
189,2017-01-08 20:00:00,2017,1,8,6,1,20,1,1
190,2017-01-08 21:00:00,2017,1,8,6,1,21,1,1
191,2017-01-08 22:00:00,2017,1,8,6,1,22,1,1
